,,G10,,,,,,,,,,Asia,,,,,,,,,,,,Europe/Africa,,,,,,,,,,,Latin America,,,,,,Middle East,,,,,,,
Th,8/16/2018,1,1.1377,110.9,1.2716,1.3156,0.7261,0.6587,0.9969,8.4774,9.1921,6.8853,6.8628,7.8498,70.1575,14615,4.1055,53.44,1.3752,1130,30.848,33.292,23315,1.7192,22.6247,284.58,108.19,,362.33,3.7856,4.0934,66.8254,14.7367,5.8341,29.7019,3.9069,665.93,3024.25,18.9836,3.3135,0.377149999,3.673599958,0.708999991,0.303449988,0.385030001,3.641000032,3.7506001,3.672699928
We,8/15/2018,1,1.1345,110.74,1.2697,1.3141,0.7239,0.6565,0.9936,8.4545,9.205,6.9348,6.9471,7.8499,,14600,4.104,53.475,1.3802,,30.857,33.335,23313,1.724,22.7145,285.98,109.44,100.74,360.79,3.8098,4.1117,67.2937,14.5657,5.9466,29.8748,3.9047,664.42,3052.1,19.1385,3.3175,0.377149999,3.68479991,0.708999991,0.303649992,0.38499999,3.641000032,3.7506001,3.672800064
Tu,8/14/2018,1,1.1344,111.15,1.2723,1.3058,0.7243,0.6572,0.9942,8.416,9.1395,6.8842,6.8996,7.85,69.8963,14581,4.096,53.415,1.3779,1128.1,30.808,33.27,23315,1.7241,22.6543,284.68,109.42,100.75,362.21,3.7911,4.1038,66.3376,14.2481,6.3502,29.7141,3.8671,665.03,3002.65,18.8827,3.2998,0.377149999,3.683000088,0.708999991,0.30340001,0.385010004,3.641000032,3.750499964,3.673000097
Mo,8/13/2018,1,1.141,110.7,1.2771,1.3134,0.727,0.6579,0.9934,8.3627,9.116,6.8912,6.899,7.8498,69.9337,14595,4.0935,53.37,1.3757,1134.05,30.809,,23315,1.7142,22.584,283.34,108.82,100.8,362.09,3.7758,4.083,67.8151,14.4194,6.8838,29.9326,3.8836,661.33,3003.44,19.1203,3.2873,0.377730012,3.694400072,0.708999991,0.30340001,0.385010004,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,8/10/2018,1,1.1413,110.83,1.2758,1.314,0.7302,0.659,0.9952,8.3611,9.1228,6.8463,6.8692,7.8499,68.835,14475,4.086,53.135,1.3734,1128.9,30.707,33.263,23275,1.7139,22.4705,282.99,109.16,100.53,361.73,3.7656,4.0802,67.696,14.0934,6.4323,29.2203,3.8618,654.93,2940.75,18.91,3.2806,0.377400011,3.717200041,,,0.385010004,,3.749900103,3.673000097
Th,8/9/2018,1,1.1527,111.08,1.2824,1.3051,0.7373,0.6613,0.9936,8.319,9.0078,6.821,6.846,7.8499,68.6825,14410,4.0745,53.09,1.3677,1117.1,30.624,33.175,23280,1.6968,22.1985,278.38,107.56,100.43,362.1,3.7104,4.0379,66.6768,13.7077,5.5506,28.0971,3.8005,647.66,2915.51,18.693,3.2705,0.377220005,3.690299988,0.708999991,0.302850008,0.385010004,3.641000032,3.750299931,3.673000097
We,8/8/2018,1,1.161,110.98,1.2882,1.3023,0.7431,0.6747,0.9933,8.2176,8.9523,6.8355,6.8252,7.8492,68.6288,14435,4.0745,53.08,1.363,1119.95,30.613,33.21,23285,1.6846,22.0485,275.21,107.27,,362.6,3.6721,3.9968,65.5508,13.409,5.2789,27.631,3.772,645.46,2909,18.4687,3.2692,0.377649993,3.678600073,0.708999991,0.302850008,0.385010004,3.641000032,3.750400066,3.673000097
Tu,8/7/2018,1,1.1599,111.38,1.2939,1.3053,0.7421,0.6736,0.9956,8.205,8.9167,6.8313,6.8206,7.8497,68.685,14440,4.0763,53,1.3644,1123.8,30.617,33.228,23303,1.6862,22.0662,275.92,106.76,100.43,362,3.6722,4.0036,63.4935,13.3329,5.2287,27.3979,3.7523,642.55,,18.457,3.267,0.377750009,3.680700064,0.708999991,0.302949995,0.38499999,3.641299963,3.750299931,3.673000097
Mo,8/6/2018,1,1.1554,111.4,1.2944,1.3004,0.7387,0.6733,0.9972,8.2544,8.939,6.8535,6.8656,7.8492,68.89,14480,4.08,52.855,1.3681,1123.95,30.625,33.323,23308,1.6928,22.1952,276.91,,100.46,362.29,3.6864,4.0172,63.7469,13.4415,5.3304,27.3363,3.7364,646.76,2901.21,18.5261,3.2703,0.378280014,3.702199936,0.709999979,0.302949995,0.38499999,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,8/3/2018,1,1.1568,111.25,1.3001,1.2991,0.7404,0.6744,0.9941,8.2572,8.9299,6.827,6.8461,7.849,68.61,14495,4.0813,53.15,1.3659,1127.7,30.701,33.345,23305,1.6909,22.1445,276.82,106.77,100.3,362.29,3.685,3.9929,63.3337,13.323,5.0818,27.2985,3.7074,642.8,2889.83,18.562,3.2686,0.377950013,3.695499897,,,0.385010004,,3.750400066,3.673000097
Th,8/2/2018,1,1.1585,111.66,1.3017,1.3023,0.736,0.6753,0.9952,8.2422,8.8936,6.8428,6.8813,7.8497,68.71,14475,4.0765,53.095,1.3687,1126.1,30.679,33.31,23281,1.6882,22.1577,277.26,106.46,100.4,362.29,3.6898,3.9891,63.376,13.449,5.0689,27.447,3.7496,644.68,2903.61,18.6415,3.2734,0.377880007,3.690399885,0.708999991,0.302700013,0.385010004,3.641000032,3.750299931,3.673000097
We,8/1/2018,1,1.166,111.73,1.3127,1.3004,0.7404,0.6791,0.9921,8.1795,8.8068,6.823,6.8243,7.8485,68.4312,14440,4.0665,53.08,1.3618,1120.65,30.611,33.132,23290,1.6774,21.946,275.13,106.31,,361.58,3.6554,3.9618,63.0408,13.2207,4.9946,27.513,3.7503,641.45,2894.23,18.5877,3.2705,0.377880007,3.6723001,0.708999991,0.302700013,0.385010004,3.641000032,3.750299931,3.673000097
Tu,7/31/2018,1,1.1691,111.86,1.3124,1.3006,0.7424,0.6818,0.9903,8.1589,8.7918,6.8168,6.8053,7.8491,68.5475,14420,4.0652,53.097,1.3615,1118.7,30.611,33.272,23283,1.673,21.8776,274.36,105.44,100.45,361.85,3.6577,3.9538,62.5221,13.275,4.914,27.4302,3.7574,636.66,2888.66,18.6469,3.2717,0.378450006,3.670799971,0.708999991,0.30250001,0.385010004,3.641000032,3.750299931,3.673000097
Mo,7/30/2018,1,1.1706,111.04,1.3133,1.3036,0.7407,0.6823,0.9882,8.135,8.7519,6.8155,6.8266,7.8485,68.68,14410,4.0595,53.222,1.361,1120.4,30.602,,23258,1.6709,21.8618,274.88,104.81,,361.05,3.6486,3.9514,62.2555,13.1554,4.8818,27.259,3.7297,638.41,2868.72,18.5378,3.2704,0.377880007,3.663800001,0.708999991,0.302650005,0.385019988,3.641499996,3.750400066,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,7/27/2018,1,1.1657,111.05,1.3105,1.3055,0.74,0.679,0.9945,8.1892,8.8406,6.8133,6.8178,7.8475,68.6625,14418,4.0625,53.294,1.3616,1118.15,30.587,,23208,1.6779,21.9877,276.45,105.33,,362.25,3.676,3.9679,62.7982,13.1723,4.8517,27.3282,3.7121,642.91,2886.02,18.6299,3.2733,0.377999991,3.656800032,,,0.38499999,,3.750400066,3.673000097
Th,7/26/2018,1,1.1643,111.23,1.3109,1.3074,0.7377,0.6784,0.9942,8.1895,8.8124,6.7927,6.8264,7.8479,68.665,14460,4.061,53.442,1.3637,1119.45,30.564,33.292,23180,1.6797,22.0263,278.22,105.37,100.46,361.56,3.6822,3.9816,62.9475,13.2437,4.8648,27.4067,3.7471,647.25,2879.77,18.6257,3.2733,0.377799988,3.650700092,0.708999991,0.302540004,0.38499999,3.641499996,3.750299931,3.673000097
We,7/25/2018,1,1.1729,110.98,1.3189,1.3046,0.7455,0.6837,0.9919,8.1351,8.757,6.7697,6.7607,7.8455,68.7863,14460,4.0555,53.37,1.3584,1126.35,30.624,33.287,23185,1.6675,21.853,277.6,105.18,100.5,361.8,3.664,3.941,62.8262,13.109,4.7732,27.378,3.6906,649.29,2881.6,18.6667,,0.377880007,3.643199921,0.708999991,0.302619994,0.38499999,3.641400099,3.750299931,3.673000097
Tu,7/24/2018,1,1.1687,111.2,1.3145,1.3155,0.7423,0.6802,0.9936,8.1779,8.8161,6.7927,6.8109,7.8468,68.9475,14530,4.066,53.435,1.3634,1135.15,30.714,33.415,23238,1.6738,21.9827,279.04,106.3,100.55,361.8,3.6816,3.963,63.3142,13.283,4.8852,27.4881,3.7488,654.57,2893.73,18.8831,,0.377799988,3.649399996,0.708999991,0.302569985,0.38499999,3.641000032,3.750299931,3.673000097
Mo,7/23/2018,1,1.1692,111.35,1.3101,1.3172,0.7381,0.6786,0.9922,8.1952,8.8605,6.7986,6.8055,7.8483,68.8625,14497,4.062,53.485,1.3653,1131.35,30.642,33.443,23213,1.6728,22.081,279.11,106.49,100.65,361.8,3.6999,3.9742,63.0676,13.4603,4.7414,27.612,3.783,663.51,2904.75,18.8805,,0.37834999,3.645499945,0.708999991,0.302590013,0.38499999,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,7/20/2018,1,1.1724,111.41,1.3136,1.3145,0.7415,0.6809,0.9923,8.1785,8.852,6.7697,6.7809,7.8499,68.8488,14480,4.062,53.51,1.3631,1133.75,30.711,33.412,23045,1.6687,22.077,277.72,106.42,,361.26,3.6832,3.9697,63.534,13.4043,4.793,27.5666,3.768,659.61,,19.0234,3.2755,0.378500015,3.629100084,,0.302879989,0.38499999,,3.750299931,3.673000097
Th,7/19/2018,1,1.1642,112.47,1.3014,1.3273,0.7361,0.6743,0.9987,8.2349,8.914,6.7751,6.7915,7.8496,69.0525,14475,4.064,53.54,1.3708,1133.2,30.628,,23053,1.6798,22.2633,280.45,107.06,100.82,361.01,3.7249,3.9973,63.6602,13.5379,4.8088,27.7564,3.8313,662.55,2884,19.0514,3.2745,0.378500015,3.645299911,0.708999991,0.303140014,0.38499999,3.641299963,3.750299931,3.673000097
We,7/18/2018,1,1.1639,112.86,1.3069,1.317,0.7398,0.6794,0.999,8.1702,8.8657,6.7189,6.7456,7.8497,68.6225,14405,4.0588,53.5,1.3652,1132.35,30.578,33.353,23055,1.6802,22.1995,278.42,106.85,100.68,361.48,3.701,3.9993,62.9826,13.2677,4.7956,27.6084,3.8492,653.33,2863.46,18.8951,3.2695,0.378609985,3.637300014,0.708999991,0.303009987,0.384950012,3.641000032,3.750299931,3.673000097
Tu,7/17/2018,1,1.1661,112.88,1.3115,1.3191,0.7389,0.6783,1.0001,8.1528,8.8406,6.7065,6.722,7.8489,68.4612,14370,4.0462,53.39,1.3648,1124.1,30.505,33.252,23055,1.6772,22.173,277.62,106.65,100.4,361.78,3.685,3.9885,62.5945,13.2702,4.8044,27.5295,3.8386,653.43,2867.75,18.8892,3.2725,0.37895,3.633699894,0.708999991,0.302879989,0.384900004,3.641400099,3.750299931,3.673000097
Mo,7/16/2018,1,1.1711,112.29,1.3235,1.3136,0.7419,0.6777,0.9968,8.1013,8.8227,6.6911,6.7033,7.8489,68.5687,14375,4.044,53.53,1.3621,1129.1,30.577,33.283,23055,1.6702,22.079,275.89,106.75,100.5,361.56,3.6732,3.9767,62.3125,13.2225,4.8462,27.344,3.8604,650.33,2868.81,18.82,3.266,0.37913999,3.626600027,0.708999991,0.302689999,0.384900004,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,7/13/2018,1,1.1685,112.38,1.3222,1.316,0.7424,0.6753,1.0017,8.1155,8.8796,6.6916,6.7113,7.8486,68.53,14385,4.051,53.51,1.3658,1123.45,30.553,33.338,23047,1.6737,22.1558,276.26,107.32,100.8,361.47,3.6926,3.9825,62.5634,13.2723,4.8387,27.243,3.8518,650.72,2862,18.8913,3.2715,0.379049987,3.641599894,,0.302920014,0.384950012,3.641400099,3.750299931,3.673000097
Th,7/12/2018,1,1.1672,112.55,1.3206,1.3154,0.7408,0.6782,1.0024,8.112,8.8736,6.6678,6.6934,7.8488,68.5712,14390,4.041,53.51,1.3632,1125.95,30.531,33.268,23046,1.6758,22.2053,278.2,107.28,100.79,361.97,3.7044,3.9909,62.2731,13.3023,4.856,27.2126,3.8809,647.53,2871.73,18.9801,3.2725,0.379350007,3.641700029,0.708999991,0.299030006,0.384970009,3.641400099,3.750299931,3.673000097
We,7/11/2018,1,1.1674,112.01,1.3205,1.3209,0.7366,0.6759,0.9959,8.11,8.8231,6.6826,6.7234,7.8491,68.7725,14385,4.037,53.505,1.3642,1120.05,30.472,33.295,23045,1.6754,22.2205,278.76,106.97,100.85,361.22,3.7186,3.9906,62.369,13.5472,4.8757,27.3839,3.8763,653.16,2893.15,19.082,3.2795,0.379500002,3.649300098,0.708999991,0.298370004,0.384990007,3.641000032,3.750299931,3.673000097
Tu,7/10/2018,1,1.1744,111,1.3276,1.3113,0.7459,0.6838,0.9919,8.0169,8.7406,6.634,6.6506,7.8484,68.8213,14364,4.022,53.47,1.3571,1116.3,30.397,33.175,23040,1.6653,22.0193,275.79,106.92,,361.46,3.6775,3.9656,61.7421,13.3318,4.7069,27.3551,3.8147,646.91,2868.14,18.9288,3.273,0.379500002,3.632100105,0.708999991,0.298449993,0.384990007,3.641000032,3.750299931,3.673000097
Mo,7/9/2018,1,1.1751,110.85,1.326,1.3107,0.7467,0.6837,0.9915,8.0245,8.7262,6.616,6.6233,7.8484,68.72,14325,4.028,53.4,1.3567,1112.2,30.381,33.143,23040,1.6645,22.0005,275.34,106.81,100.72,362.04,3.6723,3.9646,62.4906,13.4111,4.7333,,3.8725,651.93,2883.09,19.1888,3.277,0.379500002,3.630399942,0.708999991,0.302399993,0.38499999,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,7/6/2018,1,1.1746,110.47,1.3283,1.3084,0.743,0.6828,0.9893,8.0304,8.7242,6.6427,6.6638,7.8479,68.8788,14370,4.04,53.42,1.358,1116,30.493,33.17,23035,1.6655,22.0559,275.1,106.85,100.75,362.12,3.7183,3.9685,62.9655,13.4719,4.574,27.9307,3.8629,656.78,2871.39,19.0413,3.2855,0.379999995,3.623800039,,0.302430004,0.38499999,,3.750299931,3.673000097
Th,7/5/2018,1,1.1691,110.64,1.3222,1.3132,0.7387,0.6785,0.9931,8.0613,8.7666,6.637,6.6583,7.8472,68.945,14385,4.043,53.43,1.3649,1118.5,30.534,33.232,23045,1.6729,22.1962,276.68,106.71,100.75,361.64,3.7228,3.9878,63.1275,13.5365,4.5921,28.0793,3.932,656.45,2874.18,19.2121,3.2873,0.379999995,3.640399933,0.708999991,0.302579999,0.38499999,3.641799927,3.750299931,3.673000097
We,7/4/2018,1,1.1657,110.49,1.323,1.3143,0.7386,0.6762,0.993,8.1107,8.7891,6.6325,6.6433,7.8433,68.7437,14352,4.0465,53.36,1.3651,1114.55,30.496,33.147,23035,1.6779,22.336,279.18,107.21,100.7,361.11,3.76,3.9995,63.2265,13.6816,4.6677,28.0719,3.9137,652.34,2906.26,19.4575,3.2914,0.379500002,3.654000044,0.708999991,0.302689999,0.38499999,3.641700029,3.750299931,3.673000097
Tu,7/3/2018,1,1.1658,110.59,1.3193,1.3139,0.7386,0.6756,0.9925,8.1318,8.8377,6.6425,6.6659,7.845,68.5737,14380,4.0498,53.366,1.3648,1118.7,30.585,33.188,23028,1.6776,22.4031,280.75,107.27,100.85,361.36,3.7698,3.9968,63.131,13.6756,4.6719,27.9543,3.8974,649.85,2901.89,19.4627,3.287,0.380499989,3.651400089,0.708999991,0.302650005,0.38499999,3.641700029,3.750299931,3.673000097
Mo,7/2/2018,1,1.1639,110.9,1.3143,1.3186,0.734,0.6716,0.9936,8.1729,8.9652,6.668,6.6877,7.8442,68.7988,14384,4.0392,53.43,1.3692,1120.1,30.517,33.14,22970,1.6804,22.4151,283.6,107.38,100.87,361.23,3.7799,4.0058,63.4245,13.8313,4.6163,28.2887,3.9113,,,19.9598,3.2875,0.380499989,3.670200109,0.708999991,0.3028,0.384990007,3.641599894,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,6/29/2018,1,1.1684,110.76,1.3207,1.3133,0.7405,0.6768,0.9906,8.1474,8.9428,6.621,6.6357,7.8466,68.47,14330,4.0385,53.325,1.3624,1114.6,30.494,33.123,,1.6739,22.2365,281.79,105.51,101.01,361.24,3.7425,3.9905,62.7416,13.725,4.5929,28.9261,3.8765,654.35,2930.5,19.9078,,0.378749996,3.655699968,,0.302689999,0.384979993,,3.750499964,3.673000097
Th,6/28/2018,1,1.1569,110.49,1.3078,1.3249,0.7352,0.6759,0.9975,8.1881,9.0191,6.627,6.6361,7.8479,68.7925,14390,4.0425,53.53,1.3677,1124,30.58,33.125,22938,1.6906,22.4237,283.89,107.25,101.09,361.24,3.7717,4.0283,62.8215,13.7705,4.5847,28.0942,3.8605,649.92,2946.42,19.7174,3.2765,0.378199995,3.656599998,0.708999991,0.302830011,0.384979993,3.641299963,3.750299931,3.673000097
We,6/27/2018,1,1.1554,110.26,1.3113,1.3342,0.734,0.6791,0.9973,8.1931,8.9772,6.6083,6.618,7.8479,68.6338,,4.03,53.485,1.3675,1117.6,30.453,33.013,22937,1.6928,22.4578,283.55,107.18,101.05,361.73,3.767,4.0276,63.2315,13.8585,4.6231,27.4386,3.8624,645.63,2935.07,20.1787,3.2735,0.378619999,3.641900063,0.708999991,0.302729994,0.38499999,3.641299963,3.750299931,3.673000097
Tu,6/26/2018,1,1.1648,110.06,1.3225,1.3308,0.7394,0.6862,0.9912,8.1295,8.8821,6.5793,6.582,7.8491,68.2513,14178,4.0225,53.47,1.3631,1114.75,30.409,32.997,22923,1.6791,22.2412,279.98,107.07,100.85,361.3,3.7219,4.0018,63.0305,13.5386,4.6148,27.0856,3.8019,640.88,2922.77,19.9549,3.2675,0.381500006,3.640399933,0.708999991,0.302430004,0.38499999,3.641400099,3.750299931,3.673000097
Mo,6/25/2018,1,1.1704,109.77,1.3281,1.3297,0.7414,0.6903,0.9873,8.102,8.8459,6.541,6.5415,7.847,68.125,14155,4.0177,53.45,1.3621,1117.15,30.392,32.965,22889,1.6711,22.1352,278.29,107.93,100.85,361.21,3.7113,3.9877,62.767,13.5432,4.6818,27.0888,3.7745,639.96,2929.12,19.892,3.27,0.380820006,3.620100021,0.708999991,0.30241999,0.384990007,3.641000032,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,6/22/2018,1,1.1651,109.97,1.3261,1.3269,0.744,0.6908,0.9881,8.0949,8.857,6.5052,6.5087,7.8463,67.8325,14082,4.0022,53.29,1.3586,1107.55,30.303,32.92,22890,1.6779,22.1403,278.75,108.51,100.82,361.3,3.7088,3.9988,62.88,13.4373,4.6771,27.0282,3.7856,636.71,2914.28,20.0118,3.2696,0.378989995,3.606800079,,0.302439988,0.38499999,,3.750299931,3.673000097
Th,6/21/2018,1,1.1604,109.99,1.324,1.3315,0.7379,0.6869,0.9923,8.1272,8.8937,6.4932,6.5001,7.8461,67.9812,14100,4.0157,53.46,1.3583,1112.45,30.292,32.978,22865,1.6857,22.2933,281.23,109.17,100.9,361.21,3.7294,4.0247,63.7035,13.5825,4.72,27.5058,3.7694,640.24,2944.19,20.3102,3.2745,0.377900004,3.622400045,0.708999991,0.30261001,0.38499999,3.641700029,3.750299931,3.673000097
We,6/20/2018,1,1.1572,110.36,1.3172,1.331,0.7368,0.6878,0.9962,8.18,8.8842,6.4738,6.4811,7.8465,68.0762,,4.0055,53.463,1.3587,1105.2,30.15,32.783,22864,1.6899,22.3286,279.91,109.07,101.14,361.06,3.7309,4.037,63.6796,13.6555,4.7325,,3.7721,638.78,2923.31,20.3593,3.2784,0.377799988,3.621200085,0.708999991,0.302760005,0.384499997,3.641400099,3.750299931,3.673000097
Tu,6/19/2018,1,1.159,110.06,1.3174,1.3286,0.7381,0.6901,0.995,8.1887,8.8941,6.4853,6.4772,7.8493,68.385,,4.0025,53.46,1.357,1109.1,30.184,32.815,22835,1.6876,22.2995,278.26,107.81,101.18,361.1,3.7218,4.0295,63.8569,13.7509,4.7407,27.7658,3.7469,639.6,2920.03,20.5261,3.284,0.377880007,3.630700111,0.708999991,0.302760005,0.38499999,3.641299963,3.750299931,3.673000097
Mo,6/18/2018,1,1.1623,110.55,1.3245,1.3202,0.7423,0.6942,0.9952,8.1267,8.8161,,6.4547,7.8497,67.9888,,3.9978,53.49,1.3514,1104.9,,32.655,22828,1.6827,22.1855,278.56,109.01,101.14,361.1,3.7024,4.0162,63.4661,13.6441,4.7046,27.618,3.747,637.13,2920.63,20.5216,3.2773,0.37786001,3.640799999,,0.302599996,0.384979993,3.641299963,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,6/15/2018,1,1.161,110.66,1.3278,1.3184,0.7442,0.6949,0.9976,8.1466,8.7858,6.4387,6.4367,7.8493,68.0175,,,,1.351,1097.75,29.987,32.412,22815,1.6845,22.1571,277.87,107.69,,,3.6884,4.0177,63.1801,13.4307,4.7305,28.2608,3.7295,633.85,2890.75,20.6268,3.2811,0.377799988,3.627399921,,0.302659988,0.384979993,,3.750099897,3.673000097
Th,6/14/2018,1,1.1568,110.63,1.3262,1.3105,0.7478,0.6977,0.997,8.1369,8.7434,6.4017,6.4174,7.8492,67.6313,,3.9848,53.275,1.3449,1083.05,29.936,32.135,22810,1.6907,22.2726,279.21,106.35,101.15,361.1,3.7024,4.0327,62.6185,13.4548,4.7266,27.9837,3.8066,635.85,2860.01,20.8799,3.2815,0.377799988,3.61439991,0.708999991,0.302410007,0.384979993,3.641299963,3.750200033,3.673000097
We,6/13/2018,1,1.1791,110.34,1.3376,1.2987,0.7578,0.7024,0.9855,8.0103,8.6071,6.3979,6.3889,7.8483,67.6438,,3.9938,53.232,1.3354,,29.886,32.16,22805,1.6587,21.7875,271.88,106.52,101.18,360.98,3.6275,3.9573,62.5121,13.3081,4.6471,26.2561,3.7216,632.41,2855.08,20.6421,3.2733,0.377799988,3.595000029,0.708999991,0.302159995,0.384979993,3.641400099,3.750200033,3.673000097
Tu,6/12/2018,1,1.1745,110.37,1.3372,1.3015,0.7573,0.7007,0.9868,8.0524,8.6455,6.4028,6.4054,7.8471,67.4913,,3.9903,,1.3368,1077.2,29.85,32.073,22811,1.6653,21.8719,272.19,106.46,101.1,361.16,3.6448,3.9692,,13.3325,4.5969,25.7552,3.7193,636.78,2858.52,20.716,3.2714,0.377799988,3.590500116,0.708999991,0.297670007,0.384979993,3.641000032,3.750099897,3.673000097
Mo,6/11/2018,1,1.1784,110.03,1.3379,1.2978,0.7609,0.7026,0.9854,8.0436,8.662,6.4018,6.3982,7.8466,67.4275,,3.9875,52.925,1.3349,1075.15,29.814,32.06,22803,1.6596,21.765,272.46,105.83,101.07,360.88,3.6203,3.9566,62.8233,13.1633,4.5232,26.0436,3.7114,632.2,,20.5943,3.2652,0.377799988,3.572799921,0.708999991,0.302060008,0.384979993,3.641400099,3.750099897,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,6/8/2018,1,1.1769,109.55,1.3405,1.2928,0.7601,0.7034,0.9857,8.0411,8.7153,6.4067,6.3993,7.8458,67.5075,13930,3.9885,52.695,1.336,1075.85,29.809,32.06,22788,1.6618,21.8842,271.87,105.92,101.05,,3.6354,3.9582,62.3256,13.0677,4.4732,25.3402,3.7091,630.9,2855.38,20.29,3.2613,0.377799988,3.572099924,,0.302069992,0.384990007,3.641299963,3.750200033,3.673000097
Th,6/7/2018,1,1.18,109.7,1.3423,1.2972,0.7624,0.7028,0.9805,8.0564,8.7001,6.3921,6.3896,7.8463,67.1362,13870,3.977,52.49,1.3338,1069.1,29.736,31.943,22800,1.6576,21.8505,270.06,105.39,100.9,361.5,3.6246,3.9471,62.4142,12.9759,4.4842,24.985,3.9043,631.82,2845.45,20.4747,3.2634,0.377799988,3.570300102,0.708999991,0.301840007,0.384990007,3.641000032,3.750200033,3.673000097
We,6/6/2018,1,1.1774,110.18,1.3413,1.2944,0.7667,0.7033,0.9865,8.0805,8.7332,6.3884,6.3776,7.8473,66.9238,13853,3.9743,52.39,1.3325,,29.73,31.91,22808,1.6611,21.8005,270.03,105.37,100.91,,3.6237,3.9536,61.7911,12.7101,4.5557,24.9025,3.8513,628.85,2829,20.3013,3.2625,0.377799988,3.573600054,0.708999991,0.302040011,0.384990007,3.641700029,3.750200033,3.673000097
